GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_EST_VC07,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10
Id,Id2,Geography,Total; Estimate; Total population,Total; Estimate; AGE - 20 to 24 years,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years
1400000US25001010100,25001010100,"Census Tract 101, Barnstable County, Massachusetts",2952,88,47,135,261
1400000US25001010206,25001010206,"Census Tract 102.06, Barnstable County, Massachusetts",3171,261,71,67,85
1400000US25001010208,25001010208,"Census Tract 102.08, Barnstable County, Massachusetts",1580,33,27,15,79
1400000US25001010304,25001010304,"Census Tract 103.04, Barnstable County, Massachusetts",2332,179,24,96,22
1400000US25001010306,25001010306,"Census Tract 103.06, Barnstable County, Massachusetts",2576,113,37,112,85
1400000US25001010400,25001010400,"Census Tract 104, Barnstable County, Massachusetts",3037,79,91,53,236
1400000US25001010500,25001010500,"Census Tract 105, Barnstable County, Massachusetts",2790,63,38,40,48
1400000US25001010600,25001010600,"Census Tract 106, Barnstable County, Massachusetts",3091,169,41,87,145
1400000US25001010700,25001010700,"Census Tract 107, Barnstable County, Massachusetts",3058,75,94,201,126
1400000US25001010800,25001010800,"Census Tract 108, Barnstable County, Massachusetts",4734,99,140,84,125
1400000US25001010900,25001010900,"Census Tract 109, Barnstable County, Massachusetts",5122,232,195,110,142
1400000US25001011002,25001011002,"Census Tract 110.02, Barnstable County, Massachusetts",4061,222,81,300,131
1400000US25001011100,25001011100,"Census Tract 111, Barnstable County, Massachusetts",4642,259,257,156,154
1400000US25001011200,25001011200,"Census Tract 112, Barnstable County, Massachusetts",3440,142,74,95,90
1400000US25001011300,25001011300,"Census Tract 113, Barnstable County, Massachusetts",2483,47,95,65,95
1400000US25001011400,25001011400,"Census Tract 114, Barnstable County, Massachusetts",3071,107,94,90,111
1400000US25001011500,25001011500,"Census Tract 115, Barnstable County, Massachusetts",3945,182,180,272,118
1400000US25001011600,25001011600,"Census Tract 116, Barnstable County, Massachusetts",2761,69,130,128,180
1400000US25001011700,25001011700,"Census Tract 117, Barnstable County, Massachusetts",1732,80,43,84,56
1400000US25001011801,25001011801,"Census Tract 118.01, Barnstable County, Massachusetts",2411,40,63,44,31
1400000US25001011802,25001011802,"Census Tract 118.02, Barnstable County, Massachusetts",3993,191,186,195,189
1400000US25001012001,25001012001,"Census Tract 120.01, Barnstable County, Massachusetts",5763,241,383,201,219
1400000US25001012002,25001012002,"Census Tract 120.02, Barnstable County, Massachusetts",2895,275,162,55,156
1400000US25001012101,25001012101,"Census Tract 121.01, Barnstable County, Massachusetts",5412,416,310,387,246
1400000US25001012102,25001012102,"Census Tract 121.02, Barnstable County, Massachusetts",2985,111,212,215,201
1400000US25001012200,25001012200,"Census Tract 122, Barnstable County, Massachusetts",4933,291,224,68,178
1400000US25001012502,25001012502,"Census Tract 125.02, Barnstable County, Massachusetts",3718,198,418,380,193
1400000US25001012601,25001012601,"Census Tract 126.01, Barnstable County, Massachusetts",3196,261,194,167,107
1400000US25001012602,25001012602,"Census Tract 126.02, Barnstable County, Massachusetts",4920,244,501,219,324
1400000US25001012700,25001012700,"Census Tract 127, Barnstable County, Massachusetts",4183,192,222,269,149
1400000US25001012800,25001012800,"Census Tract 128, Barnstable County, Massachusetts",3685,142,168,294,76
1400000US25001012900,25001012900,"Census Tract 129, Barnstable County, Massachusetts",3800,195,235,228,207
1400000US25001013002,25001013002,"Census Tract 130.02, Barnstable County, Massachusetts",2786,78,92,70,113
1400000US25001013100,25001013100,"Census Tract 131, Barnstable County, Massachusetts",5174,257,279,290,299
1400000US25001013200,25001013200,"Census Tract 132, Barnstable County, Massachusetts",4821,283,112,143,301
1400000US25001013300,25001013300,"Census Tract 133, Barnstable County, Massachusetts",3223,94,144,87,194
1400000US25001013400,25001013400,"Census Tract 134, Barnstable County, Massachusetts",3800,101,141,97,152
1400000US25001013500,25001013500,"Census Tract 135, Barnstable County, Massachusetts",6975,261,308,302,509
1400000US25001013600,25001013600,"Census Tract 136, Barnstable County, Massachusetts",6400,607,189,380,286
1400000US25001013700,25001013700,"Census Tract 137, Barnstable County, Massachusetts",4603,384,182,154,330
1400000US25001013800,25001013800,"Census Tract 138, Barnstable County, Massachusetts",4920,267,343,118,208
1400000US25001013900,25001013900,"Census Tract 139, Barnstable County, Massachusetts",5294,405,154,74,276
1400000US25001014002,25001014002,"Census Tract 140.02, Barnstable County, Massachusetts",4134,205,98,254,122
1400000US25001014100,25001014100,"Census Tract 141, Barnstable County, Massachusetts",881,76,142,122,75
1400000US25001014300,25001014300,"Census Tract 143, Barnstable County, Massachusetts",4216,300,127,190,31
1400000US25001014402,25001014402,"Census Tract 144.02, Barnstable County, Massachusetts",6919,283,585,164,502
1400000US25001014500,25001014500,"Census Tract 145, Barnstable County, Massachusetts",5326,362,235,326,276
1400000US25001014600,25001014600,"Census Tract 146, Barnstable County, Massachusetts",4207,234,228,177,157
1400000US25001014700,25001014700,"Census Tract 147, Barnstable County, Massachusetts",3425,130,57,219,142
1400000US25001014800,25001014800,"Census Tract 148, Barnstable County, Massachusetts",3513,104,98,250,160
1400000US25001014900,25001014900,"Census Tract 149, Barnstable County, Massachusetts",3648,157,59,96,102
1400000US25001015001,25001015001,"Census Tract 150.01, Barnstable County, Massachusetts",4381,312,215,276,312
1400000US25001015002,25001015002,"Census Tract 150.02, Barnstable County, Massachusetts",3838,142,325,121,145
1400000US25001015100,25001015100,"Census Tract 151, Barnstable County, Massachusetts",3645,124,195,114,39
1400000US25001015200,25001015200,"Census Tract 152, Barnstable County, Massachusetts",2190,111,9,10,25
1400000US25001015300,25001015300,"Census Tract 153, Barnstable County, Massachusetts",3109,336,223,226,221
1400000US25001990000,25001990000,"Census Tract 9900, Barnstable County, Massachusetts",0,0,0,0,0
1400000US25005600100,25005600100,"Census Tract 6001, Bristol County, Massachusetts",4096,142,273,277,194
1400000US25005600202,25005600202,"Census Tract 6002.02, Bristol County, Massachusetts",4847,330,310,365,264
1400000US25005600203,25005600203,"Census Tract 6002.03, Bristol County, Massachusetts",5691,257,196,283,235
1400000US25005600204,25005600204,"Census Tract 6002.04, Bristol County, Massachusetts",4046,236,176,261,185
1400000US25005610100,25005610100,"Census Tract 6101, Bristol County, Massachusetts",5479,320,697,688,224
1400000US25005610202,25005610202,"Census Tract 6102.02, Bristol County, Massachusetts",5572,323,248,162,295
1400000US25005610203,25005610203,"Census Tract 6102.03, Bristol County, Massachusetts",6700,298,248,492,201
1400000US25005610204,25005610204,"Census Tract 6102.04, Bristol County, Massachusetts",5927,333,498,367,425
1400000US25005611101,25005611101,"Census Tract 6111.01, Bristol County, Massachusetts",4711,305,193,263,290
1400000US25005611102,25005611102,"Census Tract 6111.02, Bristol County, Massachusetts",5381,1186,214,115,165
1400000US25005611201,25005611201,"Census Tract 6112.01, Bristol County, Massachusetts",2951,114,210,125,188
1400000US25005611202,25005611202,"Census Tract 6112.02, Bristol County, Massachusetts",6472,566,271,292,256
1400000US25005612100,25005612100,"Census Tract 6121, Bristol County, Massachusetts",4596,245,253,317,207
1400000US25005612200,25005612200,"Census Tract 6122, Bristol County, Massachusetts",9249,329,743,585,700
1400000US25005613100,25005613100,"Census Tract 6131, Bristol County, Massachusetts",6694,471,541,467,207
1400000US25005613300,25005613300,"Census Tract 6133, Bristol County, Massachusetts",7174,134,260,527,520
1400000US25005613400,25005613400,"Census Tract 6134, Bristol County, Massachusetts",3522,175,247,125,186
1400000US25005613600,25005613600,"Census Tract 6136, Bristol County, Massachusetts",3940,230,290,309,295
1400000US25005613700,25005613700,"Census Tract 6137, Bristol County, Massachusetts",4265,200,376,381,199
1400000US25005613800,25005613800,"Census Tract 6138, Bristol County, Massachusetts",5138,326,266,576,277
1400000US25005613901,25005613901,"Census Tract 6139.01, Bristol County, Massachusetts",2638,122,264,310,255
1400000US25005613902,25005613902,"Census Tract 6139.02, Bristol County, Massachusetts",5124,318,314,343,324
1400000US25005614000,25005614000,"Census Tract 6140, Bristol County, Massachusetts",4476,214,335,424,375
1400000US25005614101,25005614101,"Census Tract 6141.01, Bristol County, Massachusetts",7276,421,607,393,436
1400000US25005614102,25005614102,"Census Tract 6141.02, Bristol County, Massachusetts",6579,522,408,368,376
1400000US25005615100,25005615100,"Census Tract 6151, Bristol County, Massachusetts",7438,428,536,504,275
1400000US25005616100,25005616100,"Census Tract 6161, Bristol County, Massachusetts",6630,335,313,241,474
1400000US25005617101,25005617101,"Census Tract 6171.01, Bristol County, Massachusetts",5070,265,254,277,276
1400000US25005617102,25005617102,"Census Tract 6171.02, Bristol County, Massachusetts",4105,171,259,165,234
1400000US25005630101,25005630101,"Census Tract 6301.01, Bristol County, Massachusetts",2734,215,335,147,178
1400000US25005630102,25005630102,"Census Tract 6301.02, Bristol County, Massachusetts",4384,194,319,286,410
1400000US25005630200,25005630200,"Census Tract 6302, Bristol County, Massachusetts",8308,330,499,540,260
1400000US25005630300,25005630300,"Census Tract 6303, Bristol County, Massachusetts",8732,571,548,310,637
1400000US25005630400,25005630400,"Census Tract 6304, Bristol County, Massachusetts",4875,265,396,279,389
1400000US25005631100,25005631100,"Census Tract 6311, Bristol County, Massachusetts",7737,529,455,315,495
1400000US25005631200,25005631200,"Census Tract 6312, Bristol County, Massachusetts",7688,348,542,338,698
1400000US25005631300,25005631300,"Census Tract 6313, Bristol County, Massachusetts",5045,499,341,340,404
1400000US25005631400,25005631400,"Census Tract 6314, Bristol County, Massachusetts",2883,251,163,282,265
1400000US25005631500,25005631500,"Census Tract 6315, Bristol County, Massachusetts",2894,156,136,243,273
1400000US25005631600,25005631600,"Census Tract 6316, Bristol County, Massachusetts",4066,369,315,369,263
1400000US25005631700,25005631700,"Census Tract 6317, Bristol County, Massachusetts",6438,213,317,311,358
1400000US25005631800,25005631800,"Census Tract 6318, Bristol County, Massachusetts",7575,409,561,261,387
1400000US25005632100,25005632100,"Census Tract 6321, Bristol County, Massachusetts",7091,221,425,222,490
1400000US25005632200,25005632200,"Census Tract 6322, Bristol County, Massachusetts",7866,355,382,314,588
1400000US25005633100,25005633100,"Census Tract 6331, Bristol County, Massachusetts",5691,313,289,229,189
1400000US25005633200,25005633200,"Census Tract 6332, Bristol County, Massachusetts",6299,540,374,211,311
1400000US25005640100,25005640100,"Census Tract 6401, Bristol County, Massachusetts",4739,377,472,236,405
1400000US25005640200,25005640200,"Census Tract 6402, Bristol County, Massachusetts",5695,512,423,494,448
1400000US25005640300,25005640300,"Census Tract 6403, Bristol County, Massachusetts",4007,311,214,281,178
1400000US25005640400,25005640400,"Census Tract 6404, Bristol County, Massachusetts",2763,208,257,143,83
1400000US25005640500,25005640500,"Census Tract 6405, Bristol County, Massachusetts",5030,327,206,248,437
1400000US25005640600,25005640600,"Census Tract 6406, Bristol County, Massachusetts",4406,237,406,295,342
1400000US25005640700,25005640700,"Census Tract 6407, Bristol County, Massachusetts",2834,143,203,225,97
1400000US25005640800,25005640800,"Census Tract 6408, Bristol County, Massachusetts",3867,341,443,286,201
1400000US25005640901,25005640901,"Census Tract 6409.01, Bristol County, Massachusetts",6040,549,286,168,466
1400000US25005641000,25005641000,"Census Tract 6410, Bristol County, Massachusetts",2348,117,83,174,202
1400000US25005641101,25005641101,"Census Tract 6411.01, Bristol County, Massachusetts",1654,135,89,12,23
1400000US25005641200,25005641200,"Census Tract 6412, Bristol County, Massachusetts",3160,307,354,257,295
1400000US25005641300,25005641300,"Census Tract 6413, Bristol County, Massachusetts",5298,490,475,332,213
1400000US25005641400,25005641400,"Census Tract 6414, Bristol County, Massachusetts",2635,174,180,229,140
1400000US25005641500,25005641500,"Census Tract 6415, Bristol County, Massachusetts",2321,193,148,168,108
1400000US25005641600,25005641600,"Census Tract 6416, Bristol County, Massachusetts",1928,142,48,122,109
1400000US25005641700,25005641700,"Census Tract 6417, Bristol County, Massachusetts",5208,284,342,487,221
1400000US25005641800,25005641800,"Census Tract 6418, Bristol County, Massachusetts",2118,212,213,220,236
1400000US25005641900,25005641900,"Census Tract 6419, Bristol County, Massachusetts",2198,131,180,121,197
1400000US25005642000,25005642000,"Census Tract 6420, Bristol County, Massachusetts",2983,282,202,192,168
1400000US25005642100,25005642100,"Census Tract 6421, Bristol County, Massachusetts",4270,400,385,203,423
1400000US25005642200,25005642200,"Census Tract 6422, Bristol County, Massachusetts",4197,326,372,246,287
1400000US25005642300,25005642300,"Census Tract 6423, Bristol County, Massachusetts",2100,139,92,123,83
1400000US25005642400,25005642400,"Census Tract 6424, Bristol County, Massachusetts",3011,199,156,222,217
1400000US25005642500,25005642500,"Census Tract 6425, Bristol County, Massachusetts",4448,391,238,375,172
1400000US25005644101,25005644101,"Census Tract 6441.01, Bristol County, Massachusetts",6265,260,456,390,277
1400000US25005644102,25005644102,"Census Tract 6441.02, Bristol County, Massachusetts",5227,292,222,199,345
1400000US25005644200,25005644200,"Census Tract 6442, Bristol County, Massachusetts",6765,176,347,522,324
1400000US25005645101,25005645101,"Census Tract 6451.01, Bristol County, Massachusetts",4607,222,93,126,244
1400000US25005645102,25005645102,"Census Tract 6451.02, Bristol County, Massachusetts",5997,330,457,262,456
1400000US25005645103,25005645103,"Census Tract 6451.03, Bristol County, Massachusetts",5737,149,282,446,376
1400000US25005646101,25005646101,"Census Tract 6461.01, Bristol County, Massachusetts",7638,598,376,379,478
1400000US25005646103,25005646103,"Census Tract 6461.03, Bristol County, Massachusetts",5413,279,119,438,278
1400000US25005646104,25005646104,"Census Tract 6461.04, Bristol County, Massachusetts",2759,92,71,85,126
1400000US25005650101,25005650101,"Census Tract 6501.01, Bristol County, Massachusetts",5526,260,338,224,299
1400000US25005650102,25005650102,"Census Tract 6501.02, Bristol County, Massachusetts",4891,202,386,508,132
1400000US25005650201,25005650201,"Census Tract 6502.01, Bristol County, Massachusetts",3044,205,185,261,100
1400000US25005650202,25005650202,"Census Tract 6502.02, Bristol County, Massachusetts",2131,56,197,190,90
1400000US25005650300,25005650300,"Census Tract 6503, Bristol County, Massachusetts",3414,121,244,373,236
1400000US25005650400,25005650400,"Census Tract 6504, Bristol County, Massachusetts",3463,263,259,144,197
1400000US25005650500,25005650500,"Census Tract 6505, Bristol County, Massachusetts",3174,206,222,222,236
1400000US25005650600,25005650600,"Census Tract 6506, Bristol County, Massachusetts",2775,180,238,163,104
1400000US25005650700,25005650700,"Census Tract 6507, Bristol County, Massachusetts",2413,231,302,189,146
1400000US25005650800,25005650800,"Census Tract 6508, Bristol County, Massachusetts",3716,229,281,474,445
1400000US25005650900,25005650900,"Census Tract 6509, Bristol County, Massachusetts",3153,88,142,219,399
1400000US25005651001,25005651001,"Census Tract 6510.01, Bristol County, Massachusetts",3181,513,314,134,109
1400000US25005651002,25005651002,"Census Tract 6510.02, Bristol County, Massachusetts",3831,268,283,223,213
1400000US25005651100,25005651100,"Census Tract 6511, Bristol County, Massachusetts",4348,494,280,286,165
1400000US25005651200,25005651200,"Census Tract 6512, Bristol County, Massachusetts",2136,201,275,309,118
1400000US25005651300,25005651300,"Census Tract 6513, Bristol County, Massachusetts",1999,178,164,86,107
1400000US25005651400,25005651400,"Census Tract 6514, Bristol County, Massachusetts",3211,294,130,299,116
1400000US25005651500,25005651500,"Census Tract 6515, Bristol County, Massachusetts",2913,200,166,180,204
1400000US25005651600,25005651600,"Census Tract 6516, Bristol County, Massachusetts",3711,272,333,335,235
1400000US25005651700,25005651700,"Census Tract 6517, Bristol County, Massachusetts",2477,107,301,213,233
1400000US25005651800,25005651800,"Census Tract 6518, Bristol County, Massachusetts",2031,145,91,215,33
1400000US25005651900,25005651900,"Census Tract 6519, Bristol County, Massachusetts",1777,94,165,67,131
1400000US25005652000,25005652000,"Census Tract 6520, Bristol County, Massachusetts",2634,164,276,124,173
1400000US25005652100,25005652100,"Census Tract 6521, Bristol County, Massachusetts",2751,325,196,246,134
1400000US25005652200,25005652200,"Census Tract 6522, Bristol County, Massachusetts",2872,211,169,179,169
1400000US25005652300,25005652300,"Census Tract 6523, Bristol County, Massachusetts",3114,342,136,217,156
1400000US25005652400,25005652400,"Census Tract 6524, Bristol County, Massachusetts",2639,170,195,159,83
1400000US25005652500,25005652500,"Census Tract 6525, Bristol County, Massachusetts",2665,152,288,207,195
1400000US25005652600,25005652600,"Census Tract 6526, Bristol County, Massachusetts",2863,278,273,289,203
1400000US25005652700,25005652700,"Census Tract 6527, Bristol County, Massachusetts",3420,338,330,213,217
1400000US25005652800,25005652800,"Census Tract 6528, Bristol County, Massachusetts",2852,100,219,285,82
